route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,city_id,date
714,3,3_11487896,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487898,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487900,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487902,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487904,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487906,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487908,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487910,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487912,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487914,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487916,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487922,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487924,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487926,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487928,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487930,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487932,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487934,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487936,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487938,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487940,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487942,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487944,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487946,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487948,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487950,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487952,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487954,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487956,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487958,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487960,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487962,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
