route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,brigade_id,vehicle_id,variant_id
129,3,3_11503469,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,2,1,828457
129,3,3_11503471,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,2,1,828457
129,3,3_11503473,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,2,1,828457
129,3,3_11503475,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,2,1,828457
129,3,3_11503479,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,3,1,828457
129,3,3_11503481,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,3,1,828457
129,3,3_11503483,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,3,1,828457
129,3,3_11503485,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,3,1,828457
129,3,3_11503487,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,3,1,828457
129,3,3_11503489,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,3,1,828457
129,3,3_11503491,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,3,1,828457
129,3,3_11503495,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,4,1,828457
129,3,3_11503497,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,4,1,828457
129,3,3_11503499,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,4,1,828457
129,3,3_11503501,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,4,1,828457
129,3,3_11503503,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,4,1,828457
129,3,3_11503505,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,4,1,828457
129,3,3_11503507,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,4,1,828457
129,3,3_11503510,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,5,1,828457
129,3,3_11503512,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,5,1,828457
129,3,3_11503514,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,5,1,828457
129,3,3_11503516,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,5,1,828457
129,3,3_11503518,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,5,1,828457
129,3,3_11503520,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,5,1,828457
129,3,3_11503522,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,5,1,828457
129,3,3_11503524,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,5,1,828457
129,3,3_11503446,"POŚWIĘCKA (Ośrodek zdrowia)",0,828508,1,1,828508
129,3,3_11503493,"POŚWIĘCKA (Ośrodek zdrowia)",0,828508,4,1,828508
129,3,3_11503462,"PORT LOTNICZY",1,828509,2,1,828509
129,3,3_11503478,"PORT LOTNICZY",1,828509,3,1,828509
129,3,3_11503509,"PORT LOTNICZY",1,828509,5,1,828509
129,3,3_11503477,"Zajezdnia Obornicka",0,828510,2,1,828510
129,3,3_11503461,"Zajezdnia Obornicka",1,828511,1,1,828511
129,3,3_11503492,"Zajezdnia Obornicka",1,828511,3,1,828511
129,3,3_11503508,"Zajezdnia Obornicka",1,828511,4,1,828511
129,3,3_11503525,"Zajezdnia Obornicka",1,828511,5,1,828511
129,4,4_11503528,"PORT LOTNICZY",1,828456,1,1,828456
129,4,4_11503530,"PORT LOTNICZY",1,828456,1,1,828456
129,4,4_11503532,"PORT LOTNICZY",1,828456,1,1,828456
129,4,4_11503534,"PORT LOTNICZY",1,828456,1,1,828456
129,4,4_11503536,"PORT LOTNICZY",1,828456,1,1,828456
129,4,4_11503538,"PORT LOTNICZY",1,828456,1,1,828456
129,4,4_11503540,"PORT LOTNICZY",1,828456,1,1,828456
129,4,4_11503545,"PORT LOTNICZY",1,828456,2,1,828456
129,4,4_11503547,"PORT LOTNICZY",1,828456,2,1,828456
129,4,4_11503549,"PORT LOTNICZY",1,828456,2,1,828456
129,4,4_11503551,"PORT LOTNICZY",1,828456,2,1,828456
129,4,4_11503553,"PORT LOTNICZY",1,828456,2,1,828456
129,4,4_11503555,"PORT LOTNICZY",1,828456,2,1,828456
129,4,4_11503559,"PORT LOTNICZY",1,828456,3,1,828456
129,4,4_11503561,"PORT LOTNICZY",1,828456,3,1,828456
129,4,4_11503563,"PORT LOTNICZY",1,828456,3,1,828456
129,4,4_11503565,"PORT LOTNICZY",1,828456,3,1,828456
129,4,4_11503567,"PORT LOTNICZY",1,828456,3,1,828456
129,4,4_11503569,"PORT LOTNICZY",1,828456,3,1,828456
129,4,4_11503574,"PORT LOTNICZY",1,828456,4,1,828456
129,4,4_11503576,"PORT LOTNICZY",1,828456,4,1,828456
129,4,4_11503578,"PORT LOTNICZY",1,828456,4,1,828456
129,4,4_11503580,"PORT LOTNICZY",1,828456,4,1,828456
129,4,4_11503582,"PORT LOTNICZY",1,828456,4,1,828456
129,4,4_11503586,"PORT LOTNICZY",1,828456,5,1,828456
129,4,4_11503588,"PORT LOTNICZY",1,828456,5,1,828456
129,4,4_11503590,"PORT LOTNICZY",1,828456,5,1,828456
129,4,4_11503592,"PORT LOTNICZY",1,828456,5,1,828456
129,4,4_11503594,"PORT LOTNICZY",1,828456,5,1,828456
129,4,4_11503596,"PORT LOTNICZY",1,828456,5,1,828456
129,4,4_11503598,"PORT LOTNICZY",1,828456,5,1,828456
129,4,4_11503527,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,1,1,828457
129,4,4_11503529,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,1,1,828457
129,4,4_11503531,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,1,1,828457
129,4,4_11503533,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,1,1,828457
129,4,4_11503535,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,1,1,828457
129,4,4_11503537,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,1,1,828457
129,4,4_11503539,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,1,1,828457
129,4,4_11503541,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,1,1,828457
129,4,4_11503544,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,2,1,828457
129,4,4_11503546,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,2,1,828457
129,4,4_11503548,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,2,1,828457
129,4,4_11503550,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,2,1,828457
129,4,4_11503552,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,2,1,828457
129,4,4_11503554,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,2,1,828457
129,4,4_11503558,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,3,1,828457
129,4,4_11503560,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,3,1,828457
129,4,4_11503562,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,3,1,828457
129,4,4_11503564,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,3,1,828457
129,4,4_11503566,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,3,1,828457
129,4,4_11503568,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,3,1,828457
129,4,4_11503570,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,3,1,828457
129,4,4_11503573,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,4,1,828457
129,4,4_11503575,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,4,1,828457
129,4,4_11503577,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,4,1,828457
